transcript_name;probe_name;SAS_strand;strand;3280_F2_C1_I1_R1_cy3;3280_F2_C1_I1_R2_cy5;3280_F2_C1_I5_R1_cy3;3280_F2_C1_I5_R2_cy5;3280_F2_C1_L1_R1_cy3;3280_F2_C1_L1_R2_cy5;3280_F2_C2_I1_R1_cy3;3280_F2_C2_I1_R2_cy5;3280_F2_C2_I5_R1_cy3;3280_F2_C2_I5_R2_cy5;3280_F2_C2_I9_R1_cy3;3280_F2_C2_I9_R2_cy5;3280_F2_C2_L1_R1_cy3;3280_F2_C2_L1_R2_cy5;3280_F2_C3_I1_R1_cy3;3280_F2_C3_I1_R2_cy5;3280_F2_C3_I5_R1_cy3;3280_F2_C3_I5_R2_cy5;3280_F2_C3_I9_R1_cy3;3280_F2_C3_I9_R2_cy5;3280_F2_C3_L1_R1_cy3;3280_F2_C3_L1_R2_cy5;3280_F2_C4_I1_R1_cy3;3280_F2_C4_I1_R2_cy5;3280_F2_C4_I5_R1_cy3;3280_F2_C4_I5_R2_cy5;3280_F2_C4_I9_R1_cy3;3280_F2_C4_I9_R2_cy5;3280_F2_C4_L1_R1_cy3;3280_F2_C4_L1_R2_cy5
SCSGHR1066H10.g;GS1_SS_18398_15176;SCSGHR1066H10.g_SS;SS;11,5194;11,7992;10,7432;10,9301;9,3812;8,8064;11,6864;11,9204;11,1397;11,1873;12,1351;12,5511;9,1636;10,3609;11,2984;11,9852;10,433;11,0284;10,946;11,5898;9,3879;9,8866;11,4672;11,3684;11,0306;11,0288;11,6612;10,9744;10,2828;9,8403
SCRLRZ3116C06.g;GS1_SS_16297_08240;SCRLRZ3116C06.g_SS;SS;11,7385;12,244;11,1818;11,226;9,8152;10,1704;12,3038;12,2844;11,307;11,3295;11,6098;11,4236;9,7629;10,8455;11,6582;12,2156;11,1451;11,0728;11,3742;11,6519;10,3737;10,1572;11,9226;11,1958;11,1864;11,4737;11,4472;11,6798;9,9644;11,1396
SCQSFL3037H05.g;GS1_SS_22566_10797;SCQSFL3037H05.g_SS;SS;7,1203;7,3126;6,8544;;6,3713;;7,1998;;6,2693;7,0674;6,8909;;;7,2158;6,9567;7,488;6,2052;;7,0328;7,0113;;7,4409;7,1463;7,5121;6,3169;6,6848;6,6019;;6,2212;
SCJFRZ1006B07.g;GS1_SS_18395_08634;SCJFRZ1006B07.g_SS;SS;9,8592;9,971;9,6548;9,7202;6,8556;6,9188;9,2736;9,71;9,4032;9,1266;10,2103;9,6139;7,2082;7,5547;9,5192;9,9054;9,1342;9,1237;9,8232;9,9796;7,1719;7,5505;9,4543;9,5176;9,7083;9,9801;9,6803;10,1705;7,2334;6,9846
SCRLRZ3114H02.g;GS1_SS_16285_05028;SCRLRZ3114H02.g_SS;SS;;;;;;;;;;;8,4357;8,1239;;;;;;;7,1148;7,1027;;;;;5,7298;;7,0741;;6,1279;
SCUTLR1058B01.g;GS1_SS_16284_03403;SCUTLR1058B01.g_SS;SS;11,3022;11,5132;10,4633;10,484;11,2421;11,6867;11,1192;10,9927;9,9944;10,3921;11,3338;11,4912;10,7606;11,4078;10,8418;11,3902;10,2784;10,5233;11,0574;11,7208;11,3717;11,577;10,6684;12,0308;11,0386;11,2069;11,5165;12,1304;11,6706;11,481
SCUTST3087G02.g;GS1_SS_18396_03521;SCUTST3087G02.g_SS;SS;9,9794;10,356;9,64;9,5594;8,6545;8,8011;10,1542;10,1178;9,3696;9,1036;11,1209;10,9886;8,7934;9,3102;9,844;9,9944;9,4232;9,3174;10,7006;10,7669;8,4984;8,9817;9,3816;9,4298;9,8056;10,1896;10,79;11,0859;9,1358;8,8157
SCSGFL4031B12.g;GS1_SS_22567_00244;SCSGFL4031B12.g_SS;SS;;;6,418;;6,6126;7,2029;;;;;;;7,1482;6,9776;;;;;;;;7,745;;6,9204;;;;;6,9032;7,0528
SCRLRZ3115E11.g;GS1_SS_16292_21612;SCRLRZ3115E11.g_SS;SS;10,599;10,8975;10,2182;10,0613;7,287;7,4198;10,6623;10,7877;9,6535;9,8872;9,8898;10,2308;6,6913;7,4963;10,4242;10,6529;9,9172;9,8168;9,7048;9,6666;7,6416;7,5352;10,9646;10,4628;10,2975;10,3958;10,411;10,3432;7,3702;7,7575
SCEPAM1017B08.g;GS1_SS_18389_08196;SCEPAM1017B08.g_SS;SS;8,8979;8,6417;8,5758;8,222;8,964;8,947;9,8784;9,6542;9,6786;9,3031;10,7444;10,3767;8,9506;9,2506;8,3661;8,9978;8,2561;8,3731;9,2602;9,1814;8,8326;8,9422;9,0865;7,7835;8,7376;8,9226;10,0132;9,4612;9,5938;8,1518
SCEZRZ3018E01.g;GS1_SS_22568_04538;SCEZRZ3018E01.g_SS;SS;7,2738;7,43;7,2644;6,3219;6,3301;;;;;;6,1553;;;6,2649;7,4242;6,6956;7,3567;;7,6868;7,2211;6,1094;6,5711;7,7723;8,5556;7,0604;8,1602;7,4124;7,7984;6,4779;
SCSGCL6071B06.g;GS1_SS_16290_10508;SCSGCL6071B06.g_SS;SS;8,9244;9,0398;8,0418;7,6008;8,2172;8,2573;8,8324;8,5592;7,3334;7,7869;8,9744;8,6893;7,4565;8,4559;8,61;9,143;7,9121;7,6996;8,3992;9,2268;7,975;8,6108;8,4585;9,03;8,4905;8,9322;9,0116;9,5986;8,6512;8,4939
SCACST3159D04.g;GS1_SS_18393_15001;SCACST3159D04.g_SS;SS;9,0846;8,9857;8,288;8,361;;;9,0554;8,5604;8,1708;7,9914;8,3968;8,2104;;;8,3312;8,4973;7,5198;;8,5314;8,3602;6,095;;8,4849;8,1206;8,3028;8,8129;8,4933;8,7518;;
SCAGFL3024G12.g;GS1_SS_22570_11616;SCAGFL3024G12.g_SS;SS;8,81;8,4294;9,3931;8,7883;10,6224;10,2003;8,962;8,5548;9,0321;8,708;9,9003;10,342;10,309;11,0251;8,1176;8,6893;8,443;8,7893;9,1488;9,2374;10,7502;10,1108;8,3604;8,0642;9,1801;9,5149;9,614;9,2232;12,0807;11,7056
SCBGLR1119B03.g;GS1_SS_18386_00514;SCBGLR1119B03.g_SS;SS;13,9878;14,0576;14,4661;14,2209;12,2986;12,6868;14,0356;13,9954;14,1893;13,9904;16,0463;15,591;12,214;12,4989;13,6912;14,2704;14,2085;15,1231;15,7944;15,792;12,1323;12,2891;13,7523;14,1182;14,4154;14,6012;15,3802;15,3101;12,8146;12,3129
SCRULR1020D02.g;GS1_SS_22572_08837;SCRULR1020D02.g_SS;SS;9,8092;10,0385;9,9792;9,4302;8,7636;9,162;10,173;10,165;9,6992;9,6893;11,5214;11,7828;8,5581;9,201;9,9707;10,2856;9,7426;10,2466;10,8739;11,0072;9,0746;8,8398;9,5893;9,6574;10,2075;10,5866;11,5952;11,8247;9,6299;9,1657
